structure,stage,epoch,teacher_forcing_ratio,training_normalized_mse,validation_normalized_mse
series,series,1,0.0,0.9750032208182595,0.813185223361902
series,series,2,0.0,0.8294978340466818,0.5748328660663805
series,series,3,0.0,0.5241300553986521,0.33840877340551007
series,series,4,0.0,0.38617851427107147,0.2649986796211778
series,series,5,0.0,0.33403426589387836,0.2174216284040819
series,series,6,0.0,0.2904347235506231,0.1884816116408298
series,series,7,0.0,0.2536766357494123,0.15803172086414538
series,series,8,0.0,0.23062982206994836,0.14039543610915803
series,series,9,0.0,0.21134826450636893,0.12588326868258023
series,series,10,0.0,0.19460245312163324,0.11097928398011024
series,series,11,0.0,0.17897999331806647,0.10672629323967717
series,series,12,0.0,0.17100980561791043,0.10535146962655217
series,series,13,0.0,0.16619861712961487,0.09087280674200308
series,series,14,0.0,0.15867963500998236,0.08897777087986469
series,series,15,0.0,0.15563760155981238,0.0892988193061268
series_parallel,series_parallel,1,1.0,0.01350886771229632,0.003334350426468933
series_parallel,series_parallel,2,1.0,0.001671508653089404,0.0016798202904235375
series_parallel,series_parallel,3,1.0,0.0008833903244301451,0.00034246430630191114
series_parallel,series_parallel,4,1.0,0.0005297852216189671,0.00020253902000963295
series_parallel,series_parallel,5,1.0,0.00027184390505267817,0.00013878753841772937
series_parallel,series_parallel,6,1.0,0.00027675267748153686,9.152559492545072e-05
series_parallel,series_parallel,7,1.0,0.00022885395623179096,9.160066787316872e-05
series_parallel,series_parallel,8,1.0,0.00022214477543126452,8.119599104311579e-05
series_parallel,series_parallel,9,1.0,0.0002185024716185801,8.021635151460047e-05
series_parallel,series_parallel,10,1.0,0.00022061906753206682,7.744999668814176e-05
series_parallel,series_parallel,11,1.0,0.00021410142344944742,7.518347615188217e-05
series_parallel,series_parallel,12,1.0,0.0002101772596220006,7.526561048028893e-05
series_parallel,series_parallel,13,1.0,0.00021049850329291075,7.2579356415908e-05
series_parallel,series_parallel,14,1.0,0.000210051019993526,7.224324227743701e-05
series_parallel,series_parallel,15,1.0,0.00020551935427427065,7.110848277909354e-05
parallel,parallel,1,0.875,0.00016504279847140424,0.14922048151493073
parallel,parallel,2,0.75,0.00023147763325444734,0.1370394006371498
parallel,parallel,3,0.625,0.00033154724466536817,0.13944976776838303
parallel,parallel,4,0.5,0.0005998107905422027,0.14286677539348602
parallel,parallel,5,0.375,0.0010093676100950688,0.13662604242563248
parallel,parallel,6,0.25,0.003669859463116154,0.1492053046822548
parallel,parallel,7,0.125,0.010777918466677269,0.151356503367424
parallel,parallel,8,0.0,0.23542324205239615,0.10591394081711769
